Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
129 TU 45,3,IV,R2,15.0,2022-08-02,5.2,2022-05-01,RC2,0.0,3.19,0.0,5.0,6.0,0.0,160.0,5.0,130.0,2022,8,130
129 TU 45,4,IV,R2,15.0,2022-09-02,5.2,2022-05-01,RC2,1.02,1.16,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
129 TU 45,5,IV,R2,15.0,2022-10-03,5.2,2022-05-01,RC2,4.79,0.87,0.0,6.0,5.0,0.0,0.0,0.0,304.0,2022,10,304
129 TU 45,6,IV,R2,15.0,2022-11-01,5.2,2022-05-01,RC2,3.13,2.25,0.0,7.0,0.0,0.0,0.0,0.0,201.0,2022,11,201
129 TU 45,7,IV,R2,15.0,2022-12-01,5.2,2022-05-01,RC2,3.45,1.78,0.0,5.0,5.0,0.0,0.0,0.0,251.0,2022,12,251
129 TU 45,8,IV,R2,15.0,2023-01-15,5.2,2022-05-01,RC2,3.56,3.3,0.0,5.0,0.0,0.0,0.0,0.0,233.0,2023,1,233
129 TU 45,9,IV,R2,15.0,2023-02-05,5.2,2022-05-01,RC2,2.3,2.27,0.3,5.0,5.0,0.0,0.0,0.0,313.0,2023,2,313
129 TU 45,10,IV,R2,15.0,2023-03-13,5.2,2022-05-01,RC2,3.55,4.27,0.1,4.0,0.0,0.0,0.0,0.0,402.0,2023,3,402
129 TU 45,11,IV,R2,15.0,2023-04-07,5.2,2022-05-01,RC2,7.44,11.07,6.63,0.0,0.0,0.0,0.0,0.0,234.0,2023,4,234
131 TU 42,3,IV,R08,15.0,2022-08-02,3.08,2022-05-01,RC2,2.56,0.47,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
131 TU 42,4,IV,R08,15.0,2022-09-02,3.08,2022-05-01,RC2,5.08,3.08,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
131 TU 42,5,IV,R08,15.0,2022-10-03,3.08,2022-05-01,RC2,4.44,3.7,0.1,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
131 TU 42,6,IV,R08,15.0,2022-11-01,3.08,2022-05-01,RC2,3.09,5.24,0.0,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
131 TU 42,7,IV,R08,15.0,2022-12-01,3.08,2022-05-01,RC2,1.96,8.8,0.0,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
131 TU 42,8,IV,R08,15.0,2023-01-15,3.08,2022-05-01,RC2,4.24,5.97,2.3,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
131 TU 42,9,IV,R08,15.0,2023-02-05,3.08,2022-05-01,RC2,1.95,8.09,168.0,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
131 TU 42,10,IV,R08,15.0,2023-03-13,3.08,2022-05-01,RC2,2.01,6.13,50.3,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
131 TU 42,11,IV,R08,15.0,2023-04-07,3.08,2022-05-01,RC2,7.25,10.89,199.17,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
41 TU 08,3,III,R08,14.0,2022-08-05,3.08,2022-05-01,PC,0.0,0.39,0.0,5.0,5.0,10.0,90.0,0.0,164.0,2022,8,164
41 TU 08,4,III,R08,14.0,2022-09-06,3.08,2022-05-01,PC,1.85,6.6,0.0,5.0,5.0,10.0,90.0,0.0,30.0,2022,9,30
41 TU 08,5,III,R08,14.0,2022-10-04,3.08,2022-05-01,PC,1.28,9.16,0.1,5.0,4.0,10.0,90.0,0.0,306.0,2022,10,306
41 TU 08,6,III,R08,14.0,2022-11-04,3.08,2022-05-01,PC,1.02,9.02,1.1,5.0,5.0,0.0,1000.0,0.0,221.0,2022,11,221
41 TU 08,7,III,R08,14.0,2022-12-05,3.08,2022-05-01,PC,2.75,10.9,0.0,5.0,5.0,0.0,1000.0,0.0,226.0,2022,12,226
41 TU 08,8,III,R08,14.0,2023-01-15,3.08,2022-05-01,PC,0.76,2.95,0.2,5.0,5.0,10.0,1000.0,0.0,223.0,2023,1,223
41 TU 08,9,III,R08,14.0,2023-02-06,3.08,2022-05-01,PC,1.36,6.48,0.0,5.0,5.0,10.0,1000.0,0.0,267.0,2023,2,267
41 TU 08,10,III,R08,14.0,2023-03-10,3.08,2022-05-01,PC,3.36,5.66,2.7,5.0,5.0,10.0,1000.0,0.0,471.0,2023,3,471
41 TU 08,11,III,R08,14.0,2023-04-11,3.08,2022-05-01,PC,5.29,10.21,47.1,0.0,0.0,0.0,1000.0,0.0,202.0,2023,4,202
39 TU 05,3,III,R08,14.0,2022-08-05,7.5,2022-05-01,PC,3.17,0.55,0.0,5.0,5.0,10.0,90.0,0.0,164.0,2022,8,164
39 TU 05,4,III,R08,14.0,2022-09-06,7.5,2022-05-01,PC,3.88,9.78,0.0,5.0,5.0,10.0,90.0,0.0,30.0,2022,9,30
39 TU 05,5,III,R08,14.0,2022-10-04,7.5,2022-05-01,PC,1.32,8.44,0.15,5.0,4.0,10.0,90.0,0.0,306.0,2022,10,306
39 TU 05,6,III,R08,14.0,2022-11-04,7.5,2022-05-01,PC,3.55,10.26,0.65,5.0,5.0,0.0,1000.0,0.0,221.0,2022,11,221
39 TU 05,7,III,R08,14.0,2022-12-06,7.5,2022-05-01,PC,4.59,8.8,1.5,5.0,5.0,0.0,1000.0,0.0,226.0,2022,12,226
39 TU 05,8,III,R08,14.0,2023-01-15,7.5,2022-05-01,PC,2.32,3.63,0.65,5.0,5.0,10.0,1000.0,0.0,223.0,2023,1,223
39 TU 05,9,III,R08,14.0,2023-02-06,7.5,2022-05-01,PC,2.08,4.72,0.25,5.0,5.0,10.0,1000.0,0.0,267.0,2023,2,267
39 TU 05,10,III,R08,14.0,2023-03-10,7.5,2022-05-01,PC,3.42,8.0,6.15,5.0,5.0,10.0,1000.0,0.0,471.0,2023,3,471
