Unique code,Divisi,Tahun,Bulan Pengamatan,Kawasan,Varietas Tebu,Bulan Tanam2,Nama Blok,Tanggal Pengamatan,Luas Tanah,Bulan Tanam,Tahun Tanam,Category Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,stem_borer_label,top_borer_label,kutu_perisai_label,Curah hujan (mm),Kategori Luas Tanah
IV20228RGM 00-6125,IV,2022,8,15.0,R2,5,129 TU 45,2022-08-02,5.2,2022-05-01,2022,RC2,RC2,3,0.0,3.19,0.0,5,6,0,160,5.0,Green,Red,Green,130,Medium
IV20228RGM 02-1085,IV,2022,8,15.0,R08,5,131 TU 42,2022-08-02,3.08,2022-05-01,2022,RC2,RC2,3,2.56,0.47,0.0,5,5,0,200,9.0,Red,Green,Green,130,Small
III20228RGM 02-1085,III,2022,8,14.0,R08,5,41 TU 08,2022-08-05,3.08,2022-05-01,2022,PC,PC,3,0.0,0.39,0.0,5,5,10,90,0.0,Green,Green,Green,164,Small
III20228RGM 02-1085,III,2022,8,14.0,R08,5,39 TU 05,2022-08-05,7.5,2022-05-01,2022,PC,PC,3,3.17,0.55,0.0,5,5,10,90,0.0,Red,Green,Green,164,Big
III20228RGM 02-1085,III,2022,8,14.0,R08,5,45 TU 08,2022-08-05,3.94,2022-05-01,2022,PC,PC,3,0.0,0.89,0.0,5,5,10,90,0.0,Green,Green,Green,164,Small
V20228RGM 02-1085,V,2022,8,8.0,R08,5,112 BU 29,2022-08-06,5.39,2022-05-01,2022,RC2,RC2,3,1.14,0.64,0.0,5,5,0,103,10.1,Green,Green,Green,234,Medium
VI20228RGM 01-12065,VI,2022,8,8.0,R06,5,189 TU 76,2022-08-08,6.75,2022-05-01,2022,PC,PC,3,1.2,0.28,0.0,5,0,0,0,0.0,Green,Green,Green,137,Medium
II20228GMP 55,II,2022,8,17.0,GMP 5,5,02 BS 15,2022-08-08,6.94,2022-05-01,2022,PC,PC,3,1.22,0.66,0.0,5,5,6,90,10.0,Green,Green,Green,120,Medium
V20228GMP 55,V,2022,8,22.0,GMP 5,5,133 BS 03,2022-08-08,6.69,2022-05-01,2022,PC,PC,3,0.0,2.98,0.0,5,5,0,102,10.1,Green,Red,Green,234,Medium
II20228GMP 55,II,2022,8,19.0,GMP 5,5,29 BS 28,2022-08-08,6.71,2022-05-01,2022,RC1,RC1,3,3.49,3.44,0.0,5,5,6,90,10.0,Red,Red,Green,120,Medium
II20228GMP 55,II,2022,8,19.0,GMP 5,5,30 BS 26,2022-08-08,3.24,2022-05-01,2022,RC1,RC1,3,0.0,1.12,0.0,5,5,6,90,10.0,Green,Green,Green,120,Small
