Divisi,Varietas Tebu,Kawasan,Nama Blok,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm),is_imputed,stem_borer_label,top_borer_label,kutu_perisai_label,Kategori Luas Tanah
II,GMP 7,10.0,01 BU 01,2022-09-02,5.23,2022-06-01,RC1,3,1.0,0.43,0.0,5,5,0,90,10.0,53,0,Rendah,Rendah,Rendah,Medium
II,GMP 7,10.0,01 BU 01,2022-10-02,5.23,2022-06-01,RC1,4,0.78,0.44,0.2,5,3,0,90,9.0,295,0,Rendah,Rendah,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2022-11-02,5.23,2022-06-01,RC1,5,1.21,1.55,0.1,5,5,0,100,10.3,194,0,Rendah,Rendah,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2022-12-02,5.23,2022-06-01,RC1,6,2.44,5.03,0.9,6,5,0,100,10.1,163,0,Rendah,Sedang,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2023-01-02,5.23,2022-06-01,RC1,7,2.93,4.09,6.05,5,6,0,0,0.0,140,0,Rendah,Sedang,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2023-02-02,5.23,2022-06-01,RC1,8,1.54,1.71,39.65,5,5,0,101,0.0,249,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-03-02,5.23,2022-06-01,RC1,9,2.8,2.48,102.35,5,5,0,110,0.0,391,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-04-02,5.23,2022-06-01,RC1,10,4.23,3.62,146.3,7,0,0,0,0.0,175,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-05-02,5.23,,RC1,11,3.63,10.38,13.45,0,0,0,90,150.0,53,1,Rendah,Tinggi,Rendah,Medium
II,R86,29.0,01 TS 48,2023-01-15,5.87,2022-10-01,RC1,3,0.0,1.12,0.0,5,0,0,0,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,R86,29.0,01 TS 48,2023-02-15,5.87,2022-10-01,RC1,4,0.0,0.44,0.0,5,0,0,0,0.0,249,0,Rendah,Rendah,Rendah,Medium
II,R86,29.0,01 TS 48,2023-03-15,5.87,2022-10-01,RC1,5,1.36,9.47,3.05,5,0,0,107,0.0,391,0,Rendah,Tinggi,Sedang,Medium
II,R86,29.0,01 TS 48,2023-04-15,5.87,2022-10-01,RC1,6,3.21,9.3,2.95,6,0,0,0,0.0,175,0,Sedang,Tinggi,Sedang,Medium
II,R86,29.0,01 TS 48,2023-05-15,5.87,2022-10-01,RC1,7,7.25,15.41,51.0,5,0,0,140,0.0,79,0,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-06-15,5.87,2022-10-01,RC1,8,4.53,18.01,103.75,5,5,0,100,0.0,110,0,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-07-15,5.87,2022-10-01,RC1,9,10.34,18.39,200.0,0,0,0,0,0.0,61,0,Tinggi,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-08-15,5.87,,RC1,10,8.72,14.09,180.7,0,0,0,103,0.0,140,1,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-09-15,5.87,,RC1,11,8.72,14.09,180.7,0,0,0,103,0.0,140,1,Sedang,Tinggi,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2022-08-08,6.94,2022-05-01,PC,3,1.22,0.66,0.0,5,5,6,90,10.0,120,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-09-08,6.94,2022-05-01,PC,4,7.14,4.07,0.0,5,5,0,90,10.3,53,0,Tinggi,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-10-08,6.94,2022-05-01,PC,5,3.29,3.79,0.15,5,5,0,101,10.3,295,0,Sedang,Sedang,Sedang,Medium
II,GMP 5,17.0,02 BS 15,2022-11-08,6.94,2022-05-01,PC,6,2.11,5.36,0.4,5,5,0,140,10.0,194,0,Rendah,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-12-08,6.94,2022-05-01,PC,7,9.13,4.89,0.05,5,5,0,105,10.0,163,0,Tinggi,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2023-01-08,6.94,2022-05-01,PC,8,2.36,3.54,0.4,5,5,0,100,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2023-02-08,6.94,2022-05-01,PC,9,8.37,5.93,52.9,5,5,0,0,0.0,249,0,Sedang,Sedang,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2023-03-08,6.94,2022-05-01,PC,10,6.1,10.11,145.05,5,5,0,100,0.0,391,0,Sedang,Tinggi,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2023-04-08,6.94,2022-05-01,PC,11,3.55,12.92,142.8,7,0,0,106,0.0,175,0,Rendah,Tinggi,Tinggi,Medium
II,R69,20.0,02 BS 18,2022-11-04,3.59,2022-08-01,RC1,3,0.0,1.91,0.0,5,0,0,90,0.0,194,0,Rendah,Sedang,Rendah,Small
